id,ans
1,0
2,0
3,3
4,1
5,0
6,4
7,0
8,1
9,1
10,4
11,3
12,3
13,4
14,0
15,5
16,1
17,0
18,4
19,3
20,1
21,2
22,2
23,3
24,1
25,3
26,1
27,4
28,5
29,4
30,1
31,3
32,2
33,5
34,4
35,5
36,3
37,5
38,1
39,1
40,1
41,3
42,4
43,3
44,0
45,3
46,5
47,4
48,2
49,0
50,3
51,4
52,5
53,5
54,1
55,4
56,1
57,5
58,1
59,5
60,0
61,3
62,2
63,4
64,0
65,5
66,4
67,0
68,5
69,1
70,1
71,0
72,5
73,0
74,1
75,2
76,0
77,1
78,4
79,1
80,0
81,0
82,2
83,2
84,5
85,3
86,1
87,5
88,1
89,0
90,0
91,5
92,1
93,4
94,5
95,3
96,1
97,4
98,5
99,3
100,0
101,1
102,0
103,0
104,0
105,1
106,2
107,1
108,2
109,2
110,4
111,1
112,1
113,4
114,0
115,5
116,3
117,1
118,0
119,3
120,4
121,2
122,2
123,0
124,2
125,4
126,4
127,3
128,0
129,3
130,3
131,1
132,3
133,2
134,4
135,3
136,0
137,0
138,3
139,4
140,2
141,2
142,4
143,0
144,0
145,3
146,4
147,1
148,4
149,1
150,5
151,1
152,2
153,5
154,3
155,1
156,4
157,0
158,0
159,5
160,5
161,2
162,0
163,1
164,5
165,5
166,2
167,0
168,3
169,4
170,3
171,1
172,1
173,4
174,2
175,0
176,0
177,3
178,4
179,2
180,5
181,0
182,5
183,2
184,2
185,5
186,4
187,3
188,3
189,0
190,4
191,0
192,2
193,1
194,5
195,2
196,5
197,4
198,4
199,5
200,2
201,3
202,4
203,0
204,0
205,5
206,5
207,3
208,0
209,1
210,5
211,3
212,1
213,3
214,1
215,3
216,0
217,1
218,0
219,5
220,3
221,3
222,4
223,1
224,3
225,2
226,2
227,5
228,2
229,5
230,1
231,0
232,5
233,0
234,5
235,5
236,4
237,3
238,5
239,5
240,5
241,2
242,5
243,4
244,1
245,1
246,5
247,5
248,3
249,1
250,5
251,3
252,0
253,0
254,3
255,4
256,2
257,5
258,1
259,2
260,2
261,1
262,0
263,3
264,1
265,4
266,2
267,3
268,4
269,0
270,1
271,0
272,2
273,1
274,1
275,1
276,2
277,3
278,2
279,4
280,2
281,2
282,4
283,2
284,4
285,4
286,5
287,0
288,4
289,3
290,5
291,2
292,5
293,0
294,1
295,1
296,2
297,4
298,4
299,0
300,0
301,3
302,2
303,0
304,3
305,4
306,5
307,2
308,2
309,5
310,5
311,3
312,0
313,4
314,5
315,5
316,5
317,0
318,5
319,1
320,0
321,4
322,5
323,1
324,1
325,3
326,1
327,1
328,2
329,0
330,5
331,4
332,3
333,1
334,1
335,5
336,2
337,5
338,3
339,2
340,5
341,3
342,5
343,1
344,3
345,3
346,5
347,0
348,4
349,5
350,0
351,1
352,3
353,1
354,2
355,3
356,2
357,0
358,5
359,4
360,0
361,3
362,2
363,4
364,4
365,2
366,1
367,4
368,5
369,2
370,3
371,0
372,5
373,4
374,4
375,1
376,2
377,3
378,0
379,1
380,4
381,3
382,0
383,5
384,3
385,3
386,0
387,5
388,3
389,2
390,3
391,4
392,3
393,5
394,1
395,3
396,0
397,1
398,1
399,2
400,5
401,5
402,4
403,2
404,0
405,5
406,2
407,3
408,3
409,1
410,1
411,2
412,5
413,2
414,5
415,1
416,5
417,3
418,1
419,4
420,0
421,1
422,1
423,3
424,5
425,2
426,2
427,2
428,2
429,2
430,4
431,5
432,1
433,2
434,4
435,0
436,0
437,4
438,4
439,0
440,5
441,3
442,2
443,0
444,4
445,1
446,3
447,3
448,2
449,0
450,4
451,4
452,5
453,4
454,5
455,0
456,2
457,2
458,5
459,4
460,1
461,2
462,3
463,1
464,2
465,4
466,2
467,1
468,0
469,1
470,3
471,0
472,5
473,2
474,5
475,3
476,2
477,5
478,2
479,1
480,2
481,4
482,1
483,1
484,5
485,3
486,2
487,5
488,2
489,5
490,0
491,3
492,5
493,2
494,4
495,4
496,5
497,4
498,0
499,2
500,4
