id,dialogue,options
1,A:媽給你送錢包來啦 來 你看一下是不是這個	B:對 就是這個 你在哪裡找到它的,A:你看 這是我新買的錢包	A:我的錢包不見了啦	A:以後上網咖的錢包在我身上	A:什麼有錢包場	A:早上你爸爸在車上找到的 一定是前天你放學的時候掉在車上了	A:我為什麼要給你們錢包
2,A:古人說三日不讀書 面目可憎 我覺得我最近可能臉色太難看了,A:所以想回復我昔日面貌姣好的樣子	A:是不是要定期來舉辦	A:各辦理一次才對	A:能夠督促所有的用人機關	A:在上次的節目討論中也有提到	A:超過九十分貝以上
3,A:你說我們做父母的最擔心的就是這個,A:我剛剛聽你媽說你要讀什麼科	A:其他老師又集體叛變	A:聽起來好好玩天啊	A:只是小孩自己的興趣不能得到發展 他們的心裡可能也會很悶喔	A:走到這裡就沒有路了耶	A:每一個科目像是國語數學都很優秀
4,A:是不是因為以前你的書包太重了 所以你想要發明這個,B:這個應該也是其中之一的原因	B:好神奇喔	B:它怎麼突然會這樣	B:那我去探索一下	B:牠會不會覺得很不開心 會生氣	B:我覺得很高興
5,A:那可不見得 有錢能使鬼推磨,B:好 這個就是我們今天比較級的用法	B:真的嗎 什麼禮物	B:有餅乾吃我也要吃	B:我知道隔壁班今天也有地理課 我陪你去借	B:什麼你說我是鬼	B:我表姊從國外帶回來的 送你一個
6,A:真的嗎	B:當然是真的囉 如果你不相信的話 可以問姜老師啊,C:老師常常看了都很感動	C:你不要太在意同學們怎麼想	C:老師先給你們一個功課	C:就是因為這樣 你們才要更包容他更鼓勵他	C:是啊 這點老師也可以證明喔	C:沒有人是十全十美的
7,A:你今天是要介紹哪一位人物 讓我們認識呢	B:是和戲劇有關喔 特別是默劇,A:我們不是當事人，不太方便回答相關問題	A:兩人得到了法國航空提供的巴黎來回機票	A:這個人我已經知道是誰啦 就是耿一偉老師嘛	A:墨西哥是自古以來就吃昆蟲的國家	A:兩人相繼離世 親朋好友皆非常感傷	A:善用資源聰明借款 早日實現買屋夢想
8,A:輝哥 全部都被你吃了 你很過分	B:就兩顆 你還剩下這樣子 那我吃什麼	C:沒有 因為你們一直在問問題 我閒著無聊,C:然後煮一煮就變成紅色的嗎	C:我就把它吃完了	C:現在要把那個木頭給粉碎掉	C:因為聽說以前是用燒的	C:會造成空氣污染	C:像他們現在這樣粉碎掉
9,A:大嬸啊 我不是說過了嗎 我們村子都是善男信女 老弱婦孺 怎麼會是練功的料呢,B:看來大家對男生女生應該有什麼樣子 還是有很刻板的印象喔	B:我們讀不讀書關你屁事啊 你管那麼多幹嘛	B:錯了 我們的武功是要教大家 以小博大 以柔克剛 男女老幼都可以學習的	B:所以做母親的 我們覺得非常了不起非常偉大	B:這次你就假裝沒看到	B:好 就交給你們
10,A:你只要拿得到滅火器 就代表你的逃生動線是安全的 你就算火滅不掉,A:防災達人接下來要突擊的	A:是位在桃園八德市的一家雜貨店	A:之前台語歌曲天后張秀卿	A:曾跟店主人共進晚餐	A:你還是可以跑出去	A:終於以超人的毅力
11,A:你不知道那些狗仔 什麼時候又跑去 挖你那間舊房子的新聞,B:這樣的工作不一定就是相對弱勢喔	B:不了解他人的利他 反而會造成更大的傷害	B:指考成績出爐	B:好啦 沒關係 心情放輕鬆一點	B:如果有工作後的學長姐分享會更棒	B:謝謝一如既往收看影片
12,A:那你覺得應該收多少錢才好	B:大家同學嘛 也不能太貴 一次二十怎麼樣 薄利多銷,A:也該畫上句點了	A:人有時會因為另外一個人 而改變	A:上次我不是跟你說 這個秘密基地漏水的事情嗎	A:你喔身在福中不知福	A:我們就可以測試它的溫度	A:還真的很不錯耶
13,A:你最拿手的是什麼菜,B:這你選的耶	B:可愛的小學生	B:電風扇	B:中獎就好了	B:炒高麗菜	B:找你三百九十一
14,A:奕瑄 我知道你很生氣 但你先看看卡片裡面寫些什麼內容 好嗎	B:奕瑄 芷穎都這樣子了 你就原諒他嘛,A:對啊 芷穎都知道錯了 你就原諒他吧	A:八戒 為師不是告誡過你 不是屬於自己的東西 不能隨便佔為己有嗎	A:你們真的是很愛吃	A:我有帶溼紙巾	A:我們要稍微ㄍㄧㄥ一下	A:我爸因為工作的關係 常常都不會在家
15,A:其實你可以試著 把你最近感覺到的 還有想到的 把它寫下來,B:可是在詩人的眼裡 下雨也有另外一番風情	B:真倒楣 差一點點就趕上了	B:你家不是很近嗎 有沒有興趣用走的	B:好吧 我試試	B:我實在是不知道女生這樣 會哭得這麼厲害	B:你還要當著全班的面朗讀 她當然會覺得很難堪
16,A:我們集訓兩個月之後 然後僥倖得到冠軍	B:什麼僥倖得到冠軍,A:是大家一起同意的	A:真的僥倖啦	A:初生之犢不畏虎	A:你們覺得環境有逐漸變好嗎	A:便宜很多	A:為什麼沒有放大家的合照
17,A:上面怎麼有刮痕	B:哪有 本來就這樣啊,A:明明就有 你自己看	A:用過的東西不可能跟新的一樣	A:可以啊 賠多少	A:你很奇怪耶 有事不直接說出來	A:要是有什麼事情 我幫你出面解決嘛	A:你要我講什麼 我就是不開心
18,A:請你當我女朋友	B:我 我覺得跟你在一起很開心 但是 我們還是繼續當好同學就好了,A:那跟我們的流言又有什麼關係呢	A:反正流言已經破解了	A:我現在這顆頭 是不是在這空中漂浮啊	A:我們其實是延伸了 畫家的一個想法	A:我真不懂 為什麼 詠真一下跟我說在一起很開心 一下又說當好同學就好	A:在網路上面散播不實流言
19,A:說台灣每年大概有四千人 因為自殺而身亡呢 光聽我就起雞皮疙瘩了耶,B:四千條生命就這麼因為想不開而沒了喔	B:動不動就為了一點小事要自殺	B:我怕他真的想不開	B:昨天晚上我一位朋友失戀在鬧自殺耶	B:像我最近就認識一位很勇敢的小女生	B:她還是努力的活下去
