id,ans
1,0
2,0
3,3
4,2
5,0
6,4
7,2
8,0
9,2
10,4
11,4
12,2
13,4
14,0
15,2
16,5
17,0
18,4
19,0
20,0
21,2
22,2
23,3
24,0
25,3
26,1
27,4
28,5
29,4
30,3
31,5
32,2
33,5
34,4
35,4
36,0
37,0
38,4
39,1
40,1
41,0
42,4
43,0
44,0
45,3
46,5
47,1
48,2
49,2
50,3
51,3
52,3
53,5
54,1
55,2
56,1
57,5
58,1
59,2
60,4
61,0
62,2
63,4
64,0
65,5
66,3
67,4
68,3
69,1
70,3
71,0
72,3
73,0
74,1
75,2
76,4
77,0
78,4
79,1
80,0
81,0
82,2
83,2
84,3
85,3
86,2
87,2
88,2
89,0
90,0
91,5
92,1
93,2
94,2
95,3
96,5
97,0
98,5
99,3
100,0
101,3
102,2
103,0
104,0
105,3
106,2
107,5
108,2
109,2
110,2
111,4
112,1
113,5
114,4
115,5
116,3
117,1
118,4
119,4
120,1
121,2
122,4
123,3
124,2
125,3
126,4
127,3
128,5
129,3
130,3
131,1
132,1
133,2
134,2
135,3
136,0
137,5
138,1
139,3
140,2
141,2
142,4
143,4
144,0
145,3
146,4
147,1
148,5
149,1
150,2
151,2
152,0
153,5
154,0
155,3
156,4
157,4
158,2
159,5
160,2
161,1
162,4
163,1
164,5
165,5
166,3
167,3
168,3
169,4
170,3
171,1
172,3
173,4
174,2
175,1
176,0
177,3
178,4
179,2
180,2
181,1
182,5
183,2
184,5
185,2
186,4
187,0
188,3
189,5
190,5
191,4
192,5
193,1
194,1
195,0
196,5
197,3
198,5
199,2
200,2
201,3
202,4
203,4
204,0
205,5
206,1
207,3
208,0
209,1
210,5
211,2
212,1
213,2
214,4
215,3
216,2
217,2
218,0
219,5
220,2
221,4
222,3
223,1
224,3
225,1
226,2
227,5
228,4
229,5
230,1
231,0
232,5
233,0
234,0
235,4
236,4
237,3
238,5
239,5
240,0
241,1
242,0
243,4
244,0
245,3
246,3
247,5
248,3
249,1
250,5
251,5
252,0
253,4
254,3
255,4
256,4
257,5
258,3
259,2
260,4
261,0
262,0
263,3
264,1
265,3
266,2
267,3
268,4
269,4
270,0
271,0
272,2
273,2
274,0
275,5
276,1
277,3
278,2
279,4
280,2
281,2
282,3
283,2
284,2
285,3
286,2
287,4
288,3
289,5
290,5
291,2
292,5
293,3
294,1
295,1
296,2
297,4
298,4
299,0
300,0
301,3
302,2
303,0
304,0
305,0
306,3
307,5
308,1
309,5
310,3
311,3
312,4
313,5
314,5
315,5
316,4
317,0
318,0
319,4
320,3
321,1
322,5
323,1
324,3
325,1
326,1
327,1
328,5
329,0
330,2
331,4
332,1
333,3
334,1
335,5
336,0
337,0
338,3
339,2
340,5
341,3
342,5
343,1
344,2
345,3
346,5
347,4
348,3
349,1
350,2
351,5
352,0
353,1
354,2
355,2
356,2
357,0
358,5
359,4
360,0
361,3
362,3
363,4
364,4
365,1
366,3
367,4
368,0
369,2
370,3
371,0
372,5
373,3
374,4
375,1
376,4
377,2
378,0
379,1
380,4
381,3
382,0
383,5
384,3
385,3
386,0
387,5
388,2
389,2
390,3
391,2
392,3
393,5
394,0
395,0
396,5
397,0
398,1
399,2
400,5
401,5
402,4
403,2
404,1
405,3
406,3
407,3
408,1
409,1
410,1
411,0
412,2
413,2
414,5
415,3
416,5
417,3
418,0
419,1
420,3
421,1
422,1
423,3
424,5
425,3
426,2
427,2
428,2
429,2
430,4
431,5
432,1
433,5
434,2
435,1
436,4
437,3
438,4
439,3
440,0
441,3
442,3
443,1
444,1
445,1
446,3
447,3
448,2
449,0
450,0
451,4
452,5
453,5
454,5
455,0
456,2
457,2
458,1
459,2
460,1
461,5
462,5
463,2
464,2
465,0
466,3
467,2
468,0
469,0
470,3
471,0
472,5
473,4
474,5
475,3
476,5
477,5
478,3
479,1
480,2
481,4
482,1
483,5
484,2
485,4
486,2
487,5
488,2
489,2
490,0
491,3
492,2
493,3
494,4
495,4
496,5
497,4
498,2
499,5
500,1
