id,ans
1,0
2,0
3,3
4,2
5,2
6,4
7,2
8,1
9,1
10,4
11,3
12,3
13,4
14,0
15,5
16,0
17,0
18,4
19,2
20,4
21,2
22,2
23,3
24,0
25,3
26,1
27,4
28,5
29,4
30,0
31,5
32,2
33,5
34,4
35,4
36,0
37,0
38,1
39,1
40,1
41,3
42,4
43,0
44,0
45,3
46,5
47,4
48,2
49,4
50,3
51,3
52,3
53,5
54,0
55,1
56,1
57,5
58,4
59,2
60,4
61,0
62,2
63,4
64,0
65,5
66,4
67,0
68,3
69,1
70,3
71,0
72,5
73,0
74,1
75,2
76,0
77,0
78,4
79,1
80,0
81,0
82,2
83,2
84,3
85,3
86,2
87,5
88,2
89,1
90,0
91,5
92,1
93,2
94,5
95,3
96,5
97,4
98,5
99,3
100,0
101,3
102,2
103,0
104,0
105,2
106,2
107,0
108,2
109,2
110,5
111,4
112,1
113,5
114,0
115,5
116,3
117,1
118,0
119,4
120,4
121,2
122,3
123,3
124,2
125,0
126,4
127,3
128,0
129,3
130,3
131,1
132,1
133,2
134,2
135,3
136,0
137,1
138,1
139,3
140,2
141,2
142,5
143,4
144,0
145,3
146,4
147,3
148,5
149,1
150,5
151,2
152,0
153,5
154,0
155,1
156,1
157,1
158,2
159,5
160,2
161,1
162,5
163,1
164,5
165,5
166,1
167,3
168,0
169,5
170,3
171,1
172,5
173,4
174,2
175,5
176,0
177,3
178,4
179,4
180,5
181,1
182,5
183,2
184,5
185,2
186,4
187,0
188,3
189,0
190,4
191,4
192,2
193,1
194,5
195,3
196,5
197,3
198,5
199,2
200,2
201,3
202,4
203,4
204,0
205,5
206,1
207,1
208,0
209,1
210,5
211,3
212,1
213,2
214,4
215,3
216,0
217,1
218,0
219,5
220,2
221,3
222,3
223,1
224,3
225,1
226,2
227,5
228,2
229,5
230,1
231,0
232,5
233,0
234,0
235,3
236,4
237,3
238,5
239,5
240,2
241,1
242,5
243,4
244,0
245,3
246,5
247,5
248,3
249,1
250,2
251,5
252,0
253,4
254,3
255,4
256,4
257,2
258,3
259,2
260,4
261,1
262,0
263,1
264,1
265,1
266,5
267,3
268,4
269,0
270,1
271,0
272,0
273,2
274,0
275,5
276,1
277,3
278,2
279,4
280,2
281,2
282,3
283,2
284,2
285,3
286,2
287,0
288,4
289,5
290,5
291,2
292,5
293,3
294,1
295,1
296,2
297,4
298,4
299,0
300,0
301,3
302,3
303,0
304,0
305,4
306,5
307,1
308,1
309,0
310,3
311,3
312,4
313,5
314,5
315,5
316,4
317,5
318,0
319,3
320,0
321,4
322,5
323,1
324,5
325,0
326,1
327,1
328,5
329,0
330,4
331,4
332,2
333,1
334,1
335,5
336,2
337,0
338,3
339,2
340,5
341,3
342,5
343,1
344,2
345,3
346,5
347,4
348,4
349,0
350,3
351,5
352,3
353,1
354,2
355,0
356,2
357,0
358,5
359,4
360,0
361,3
362,3
363,4
364,4
365,1
366,1
367,4
368,0
369,2
370,3
371,0
372,5
373,5
374,4
375,1
376,4
377,3
378,0
379,2
380,4
381,3
382,0
383,5
384,3
385,3
386,0
387,5
388,4
389,2
390,3
391,2
392,3
393,5
394,0
395,0
396,2
397,0
398,1
399,2
400,5
401,5
402,1
403,2
404,1
405,3
406,3
407,3
408,1
409,1
410,1
411,0
412,2
413,2
414,5
415,1
416,5
417,0
418,3
419,1
420,0
421,1
422,1
423,3
424,5
425,3
426,2
427,2
428,2
429,2
430,4
431,5
432,1
433,5
434,2
435,1
436,4
437,5
438,4
439,3
440,0
441,3
442,1
443,1
444,1
445,1
446,3
447,3
448,2
449,5
450,4
451,4
452,2
453,5
454,5
455,0
456,2
457,2
458,1
459,2
460,1
461,3
462,5
463,4
464,2
465,0
466,5
467,2
468,0
469,0
470,2
471,0
472,5
473,4
474,5
475,3
476,2
477,5
478,4
479,1
480,2
481,4
482,1
483,5
484,5
485,4
486,2
487,5
488,2
489,5
490,0
491,3
492,3
493,3
494,5
495,4
496,5
497,4
498,2
499,5
500,5
