id,ans
1,5
2,0
3,3
4,1
5,1
6,4
7,2
8,1
9,4
10,4
11,0
12,3
13,4
14,0
15,2
16,1
17,0
18,4
19,3
20,5
21,1
22,2
23,3
24,2
25,3
26,0
27,4
28,4
29,4
30,1
31,3
32,2
33,5
34,3
35,5
36,4
37,5
38,4
39,1
40,1
41,1
42,4
43,3
44,0
45,3
46,5
47,0
48,2
49,5
50,5
51,4
52,5
53,5
54,1
55,1
56,1
57,5
58,2
59,5
60,4
61,4
62,2
63,4
64,0
65,5
66,4
67,0
68,1
69,0
70,5
71,0
72,5
73,0
74,1
75,1
76,1
77,0
78,4
79,1
80,5
81,4
82,2
83,2
84,2
85,3
86,1
87,5
88,1
89,3
90,0
91,5
92,1
93,2
94,5
95,3
96,1
97,5
98,5
99,3
100,0
101,3
102,2
103,0
104,0
105,4
106,2
107,1
108,2
109,2
110,5
111,4
112,1
113,4
114,0
115,5
116,3
117,3
118,0
119,3
120,4
121,2
122,0
123,3
124,2
125,1
126,4
127,3
128,3
129,3
130,1
131,3
132,3
133,2
134,2
135,3
136,0
137,0
138,4
139,0
140,5
141,3
142,4
143,4
144,0
145,3
146,1
147,0
148,4
149,1
150,2
151,2
152,0
153,5
154,0
155,1
156,1
157,0
158,0
159,5
160,2
161,2
162,0
163,1
164,5
165,5
166,3
167,0
168,3
169,2
170,3
171,1
172,0
173,4
174,2
175,0
176,0
177,3
178,4
179,2
180,2
181,1
182,5
183,3
184,0
185,3
186,4
187,2
188,3
189,0
190,4
191,3
192,4
193,1
194,0
195,1
196,3
197,2
198,5
199,5
200,2
201,3
202,4
203,4
204,0
205,5
206,5
207,3
208,0
209,1
210,5
211,3
212,3
213,3
214,1
215,3
216,0
217,1
218,0
219,5
220,3
221,3
222,1
223,1
224,3
225,2
226,2
227,5
228,0
229,5
230,1
231,0
232,5
233,0
234,4
235,5
236,4
237,3
238,5
239,5
240,0
241,4
242,5
243,4
244,0
245,1
246,5
247,5
248,3
249,2
250,3
251,3
252,2
253,4
254,3
255,4
256,4
257,2
258,3
259,4
260,2
261,1
262,5
263,3
264,1
265,4
266,3
267,3
268,4
269,0
270,1
271,0
272,2
273,1
274,1
275,1
276,2
277,3
278,2
279,4
280,0
281,1
282,3
283,2
284,4
285,3
286,5
287,0
288,2
289,3
290,0
291,0
292,5
293,2
294,1
295,1
296,5
297,4
298,4
299,0
300,0
301,0
302,2
303,0
304,0
305,4
306,1
307,3
308,2
309,3
310,0
311,0
312,0
313,3
314,5
315,4
316,2
317,0
318,1
319,1
320,2
321,3
322,5
323,1
324,3
325,3
326,1
327,1
328,2
329,4
330,5
331,4
332,2
333,5
334,1
335,5
336,2
337,0
338,3
339,2
340,5
341,3
342,5
343,1
344,3
345,0
346,5
347,4
348,0
349,5
350,0
351,1
352,3
353,1
354,2
355,4
356,2
357,0
358,5
359,4
360,0
361,3
362,1
363,1
364,5
365,5
366,1
367,4
368,5
369,2
370,3
371,0
372,5
373,4
374,4
375,1
376,2
377,3
378,0
379,0
380,4
381,3
382,0
383,3
384,3
385,3
386,0
387,5
388,4
389,2
390,3
391,2
392,3
393,2
394,1
395,0
396,4
397,0
398,1
399,2
400,3
401,5
402,2
403,3
404,0
405,2
406,4
407,3
408,3
409,1
410,1
411,1
412,4
413,2
414,5
415,3
416,5
417,3
418,2
419,1
420,3
421,1
422,2
423,3
424,5
425,1
426,3
427,4
428,2
429,2
430,4
431,5
432,1
433,2
434,2
435,0
436,1
437,5
438,0
439,3
440,0
441,3
442,2
443,0
444,4
445,1
446,5
447,3
448,2
449,0
450,4
451,4
452,5
453,5
454,5
455,2
456,2
457,2
458,4
459,5
460,5
461,1
462,3
463,4
464,2
465,5
466,2
467,2
468,0
469,4
470,1
471,0
472,3
473,2
474,3
475,3
476,2
477,5
478,3
479,1
480,2
481,4
482,1
483,5
484,5
485,3
486,2
487,5
488,2
489,2
490,2
491,0
492,3
493,2
494,0
495,0
496,3
497,4
498,0
499,2
500,4
