id,ans
1,0
2,0
3,3
4,0
5,0
6,4
7,2
8,1
9,0
10,4
11,0
12,3
13,4
14,3
15,2
16,1
17,0
18,4
19,3
20,0
21,3
22,2
23,3
24,2
25,3
26,0
27,4
28,5
29,4
30,1
31,3
32,2
33,5
34,3
35,5
36,0
37,3
38,4
39,1
40,1
41,1
42,4
43,3
44,0
45,3
46,4
47,0
48,2
49,0
50,2
51,4
52,5
53,5
54,1
55,1
56,1
57,5
58,4
59,5
60,4
61,1
62,2
63,2
64,0
65,5
66,4
67,0
68,1
69,0
70,5
71,0
72,5
73,0
74,1
75,0
76,5
77,4
78,4
79,5
80,5
81,0
82,2
83,2
84,2
85,5
86,1
87,5
88,1
89,3
90,0
91,5
92,1
93,4
94,5
95,2
96,5
97,0
98,3
99,3
100,0
101,3
102,2
103,2
104,0
105,3
106,2
107,1
108,2
109,2
110,4
111,4
112,1
113,4
114,0
115,5
116,3
117,0
118,0
119,3
120,4
121,2
122,2
123,0
124,2
125,1
126,4
127,4
128,1
129,3
130,1
131,1
132,3
133,2
134,5
135,3
136,0
137,0
138,3
139,0
140,2
141,3
142,5
143,4
144,0
145,3
146,4
147,0
148,4
149,1
150,1
151,2
152,0
153,5
154,5
155,1
156,1
157,3
158,0
159,5
160,2
161,2
162,0
163,1
164,5
165,5
166,2
167,4
168,0
169,5
170,1
171,1
172,1
173,4
174,2
175,0
176,0
177,5
178,0
179,2
180,5
181,1
182,5
183,3
184,1
185,1
186,4
187,1
188,3
189,0
190,4
191,0
192,2
193,1
194,5
195,3
196,5
197,4
198,4
199,5
200,2
201,3
202,4
203,4
204,0
205,5
206,5
207,3
208,0
209,1
210,4
211,3
212,3
213,3
214,1
215,3
216,1
217,1
218,0
219,5
220,2
221,3
222,1
223,5
224,3
225,1
226,1
227,5
228,4
229,5
230,1
231,0
232,5
233,0
234,0
235,3
236,1
237,3
238,5
239,5
240,0
241,2
242,5
243,4
244,0
245,1
246,5
247,5
248,3
249,1
250,3
251,3
252,2
253,4
254,3
255,3
256,5
257,2
258,1
259,1
260,4
261,1
262,0
263,1
264,1
265,4
266,3
267,3
268,4
269,3
270,1
271,2
272,2
273,1
274,2
275,1
276,2
277,3
278,2
279,4
280,2
281,1
282,3
283,2
284,4
285,4
286,5
287,0
288,2
289,3
290,5
291,0
292,5
293,0
294,1
295,1
296,3
297,4
298,4
299,2
300,0
301,3
302,3
303,0
304,1
305,4
306,5
307,1
308,2
309,5
310,3
311,3
312,4
313,3
314,5
315,5
316,5
317,0
318,5
319,1
320,2
321,3
322,5
323,1
324,1
325,0
326,1
327,1
328,5
329,4
330,5
331,4
332,2
333,4
334,1
335,5
336,2
337,0
338,3
339,2
340,5
341,3
342,5
343,1
344,5
345,0
346,3
347,0
348,4
349,2
350,0
351,1
352,3
353,1
354,2
355,2
356,2
357,0
358,5
359,4
360,0
361,3
362,1
363,1
364,5
365,5
366,1
367,4
368,5
369,2
370,3
371,0
372,5
373,4
374,4
375,1
376,2
377,2
378,0
379,0
380,3
381,3
382,0
383,0
384,3
385,3
386,0
387,5
388,4
389,2
390,3
391,2
392,3
393,5
394,1
395,5
396,4
397,0
398,1
399,2
400,3
401,5
402,2
403,3
404,1
405,2
406,4
407,3
408,3
409,1
410,1
411,0
412,4
413,2
414,5
415,5
416,5
417,3
418,3
419,1
420,0
421,4
422,2
423,3
424,5
425,3
426,3
427,5
428,2
429,2
430,3
431,5
432,1
433,1
434,4
435,0
436,1
437,5
438,1
439,3
440,2
441,3
442,2
443,0
444,4
445,1
446,2
447,3
448,2
449,2
450,4
451,4
452,5
453,5
454,5
455,4
456,2
457,2
458,4
459,2
460,5
461,2
462,3
463,4
464,2
465,4
466,5
467,2
468,0
469,5
470,3
471,0
472,1
473,2
474,5
475,3
476,2
477,5
478,3
479,1
480,2
481,4
482,4
483,5
484,5
485,3
486,2
487,5
488,2
489,2
490,3
491,3
492,3
493,2
494,4
495,0
496,5
497,4
498,0
499,2
500,4
