id,ans
1,0
2,0
3,5
4,0
5,5
6,4
7,0
8,1
9,1
10,5
11,5
12,0
13,5
14,0
15,5
16,1
17,0
18,4
19,1
20,0
21,2
22,2
23,3
24,4
25,3
26,5
27,3
28,3
29,4
30,2
31,3
32,2
33,5
34,3
35,4
36,0
37,3
38,4
39,3
40,1
41,5
42,4
43,0
44,0
45,3
46,5
47,5
48,2
49,4
50,5
51,4
52,3
53,5
54,5
55,4
56,1
57,5
58,0
59,2
60,5
61,2
62,2
63,4
64,1
65,5
66,4
67,0
68,3
69,0
70,3
71,0
72,5
73,0
74,1
75,5
76,0
77,2
78,5
79,1
80,5
81,1
82,2
83,2
84,5
85,3
86,5
87,0
88,5
89,5
90,0
91,5
92,2
93,5
94,5
95,3
96,1
97,3
98,3
99,3
100,0
101,0
102,2
103,0
104,0
105,5
106,2
107,5
108,2
109,2
110,3
111,4
112,5
113,4
114,4
115,5
116,3
117,0
118,0
119,1
120,4
121,2
122,3
123,3
124,2
125,3
126,4
127,3
128,5
129,3
130,3
131,5
132,1
133,2
134,2
135,3
136,0
137,5
138,2
139,0
140,4
141,5
142,4
143,4
144,4
145,3
146,5
147,0
148,5
149,1
150,5
151,2
152,2
153,5
154,0
155,1
156,1
157,0
158,3
159,5
160,4
161,2
162,5
163,1
164,5
165,5
166,1
167,5
168,5
169,2
170,3
171,1
172,4
173,5
174,5
175,1
176,0
177,3
178,4
179,2
180,5
181,1
182,5
183,3
184,5
185,5
186,4
187,5
188,3
189,5
190,4
191,0
192,0
193,5
194,5
195,2
196,0
197,0
198,4
199,5
200,2
201,3
202,5
203,4
204,0
205,5
206,5
207,3
208,5
209,0
210,4
211,1
212,1
213,3
214,1
215,3
216,1
217,5
218,0
219,5
220,5
221,5
222,3
223,1
224,3
225,2
226,2
227,5
228,5
229,1
230,1
231,0
232,5
233,0
234,5
235,1
236,4
237,5
238,5
239,5
240,0
241,1
242,5
243,4
244,2
245,5
246,5
247,0
248,3
249,0
250,5
251,1
252,0
253,4
254,3
255,2
256,4
257,2
258,0
259,1
260,5
261,5
262,0
263,1
264,1
265,4
266,5
267,5
268,2
269,1
270,1
271,0
272,2
273,1
274,0
275,5
276,2
277,2
278,5
279,4
280,2
281,3
282,5
283,2
284,1
285,3
286,4
287,4
288,4
289,0
290,5
291,2
292,5
293,3
294,1
295,3
296,5
297,4
298,4
299,0
300,0
301,0
302,5
303,0
304,0
305,5
306,0
307,1
308,2
309,5
310,3
311,5
312,5
313,5
314,1
315,5
316,5
317,0
318,0
319,3
320,3
321,3
322,5
323,1
324,5
325,3
326,1
327,1
328,2
329,5
330,0
331,3
332,5
333,5
334,1
335,5
336,0
337,5
338,3
339,2
340,5
341,3
342,5
343,5
344,2
345,0
346,5
347,5
348,1
349,2
350,0
351,5
352,0
353,5
354,2
355,0
356,2
357,0
358,5
359,4
360,0
361,3
362,5
363,1
364,5
365,5
366,5
367,4
368,5
369,2
370,1
371,0
372,5
373,0
374,4
375,1
376,2
377,3
378,0
379,5
380,4
381,3
382,0
383,1
384,2
385,3
386,0
387,5
388,4
389,4
390,3
391,4
392,5
393,5
394,1
395,4
396,4
397,0
398,5
399,2
400,5
401,5
402,5
403,3
404,0
405,5
406,2
407,3
408,1
409,1
410,5
411,0
412,4
413,5
414,5
415,5
416,5
417,3
418,0
419,1
420,3
421,1
422,2
423,5
424,5
425,2
426,2
427,5
428,2
429,2
430,4
431,1
432,1
433,5
434,5
435,5
436,4
437,5
438,2
439,4
440,0
441,3
442,2
443,5
444,1
445,4
446,5
447,3
448,2
449,3
450,0
451,4
452,5
453,5
454,5
455,0
456,2
457,5
458,4
459,2
460,5
461,3
462,5
463,2
464,1
465,5
466,2
467,5
468,0
469,0
470,2
471,0
472,5
473,2
474,1
475,3
476,2
477,3
478,5
479,0
480,2
481,4
482,5
483,1
484,5
485,5
486,2
487,5
488,2
489,2
490,0
491,0
492,3
493,5
494,1
495,4
496,5
497,4
498,2
499,5
500,3
