id,ans
1,0
2,4
3,3
4,1
5,0
6,4
7,0
8,1
9,2
10,4
11,3
12,5
13,4
14,0
15,3
16,1
17,0
18,4
19,0
20,4
21,0
22,2
23,3
24,0
25,3
26,1
27,4
28,5
29,4
30,1
31,2
32,2
33,5
34,4
35,2
36,3
37,5
38,1
39,1
40,1
41,3
42,4
43,3
44,0
45,2
46,5
47,4
48,2
49,0
50,5
51,4
52,5
53,5
54,0
55,1
56,3
57,5
58,1
59,5
60,4
61,1
62,2
63,4
64,5
65,5
66,4
67,0
68,3
69,1
70,1
71,4
72,2
73,0
74,1
75,2
76,1
77,0
78,4
79,1
80,0
81,0
82,2
83,2
84,5
85,2
86,0
87,5
88,1
89,0
90,0
91,5
92,1
93,4
94,5
95,3
96,1
97,4
98,5
99,3
100,0
101,1
102,2
103,0
104,0
105,0
106,2
107,1
108,2
109,2
110,4
111,4
112,1
113,4
114,0
115,5
116,3
117,2
118,0
119,4
120,4
121,2
122,1
123,3
124,2
125,1
126,4
127,3
128,0
129,3
130,3
131,1
132,2
133,2
134,4
135,3
136,0
137,0
138,2
139,4
140,2
141,2
142,3
143,4
144,0
145,3
146,4
147,0
148,4
149,1
150,1
151,1
152,4
153,5
154,5
155,1
156,1
157,0
158,0
159,5
160,2
161,2
162,5
163,1
164,5
165,5
166,2
167,0
168,2
169,1
170,3
171,1
172,0
173,4
174,1
175,0
176,0
177,3
178,4
179,4
180,5
181,1
182,5
183,2
184,2
185,5
186,4
187,3
188,3
189,4
190,1
191,0
192,2
193,1
194,5
195,2
196,5
197,4
198,0
199,2
200,2
201,0
202,4
203,4
204,0
205,5
206,5
207,3
208,0
209,1
210,5
211,3
212,1
213,3
214,1
215,3
216,1
217,1
218,0
219,5
220,1
221,2
222,1
223,3
224,3
225,2
226,2
227,5
228,4
229,5
230,1
231,0
232,5
233,0
234,4
235,5
236,4
237,3
238,5
239,5
240,5
241,0
242,1
243,4
244,1
245,4
246,5
247,5
248,3
249,2
250,5
251,3
252,2
253,0
254,3
255,3
256,2
257,5
258,4
259,1
260,3
261,1
262,0
263,3
264,1
265,4
266,3
267,3
268,4
269,0
270,1
271,2
272,2
273,1
274,0
275,4
276,2
277,3
278,2
279,1
280,2
281,2
282,3
283,2
284,1
285,4
286,2
287,0
288,4
289,3
290,0
291,2
292,5
293,2
294,1
295,1
296,0
297,4
298,4
299,0
300,0
301,3
302,2
303,0
304,2
305,4
306,5
307,2
308,2
309,5
310,0
311,3
312,1
313,4
314,5
315,5
316,5
317,0
318,1
319,1
320,0
321,3
322,5
323,1
324,1
325,3
326,1
327,1
328,2
329,0
330,5
331,4
332,3
333,4
334,1
335,5
336,2
337,5
338,3
339,2
340,5
341,3
342,5
343,1
344,0
345,3
346,5
347,4
348,4
349,2
350,2
351,4
352,3
353,1
354,1
355,1
356,2
357,0
358,5
359,4
360,0
361,3
362,1
363,4
364,4
365,1
366,1
367,4
368,1
369,2
370,3
371,0
372,5
373,4
374,4
375,1
376,2
377,3
378,3
379,2
380,4
381,3
382,0
383,0
384,3
385,3
386,4
387,5
388,4
389,3
390,3
391,4
392,3
393,2
394,3
395,3
396,0
397,0
398,1
399,2
400,5
401,5
402,3
403,2
404,0
405,4
406,3
407,3
408,4
409,1
410,0
411,2
412,1
413,2
414,5
415,3
416,5
417,3
418,3
419,1
420,0
421,1
422,4
423,3
424,5
425,0
426,2
427,4
428,2
429,2
430,4
431,5
432,1
433,2
434,4
435,0
436,1
437,5
438,4
439,4
440,3
441,3
442,2
443,0
444,1
445,1
446,1
447,4
448,2
449,0
450,4
451,4
452,5
453,4
454,5
455,0
456,2
457,2
458,1
459,2
460,1
461,2
462,3
463,1
464,2
465,4
466,2
467,1
468,0
469,1
470,1
471,0
472,0
473,5
474,2
475,3
476,2
477,5
478,3
479,1
480,2
481,4
482,1
483,5
484,5
485,0
486,2
487,5
488,2
489,2
490,0
491,0
492,2
493,2
494,5
495,0
496,5
497,4
498,0
499,5
500,4
