id,ans
1,0
2,0
3,3
4,4
5,0
6,4
7,2
8,1
9,4
10,4
11,3
12,3
13,4
14,0
15,2
16,1
17,0
18,4
19,3
20,1
21,0
22,2
23,3
24,0
25,3
26,1
27,4
28,5
29,4
30,1
31,3
32,2
33,5
34,4
35,3
36,4
37,0
38,4
39,3
40,1
41,3
42,4
43,4
44,5
45,3
46,5
47,5
48,2
49,3
50,3
51,3
52,5
53,5
54,4
55,1
56,1
57,5
58,4
59,5
60,0
61,1
62,2
63,4
64,2
65,5
66,4
67,0
68,3
69,1
70,3
71,0
72,2
73,0
74,5
75,5
76,1
77,2
78,4
79,5
80,0
81,0
82,2
83,2
84,5
85,3
86,2
87,5
88,5
89,0
90,0
91,5
92,1
93,4
94,4
95,4
96,1
97,2
98,0
99,3
100,0
101,0
102,2
103,0
104,0
105,2
106,2
107,0
108,2
109,2
110,4
111,1
112,1
113,4
114,0
115,2
116,3
117,3
118,1
119,4
120,4
121,0
122,0
123,3
124,2
125,1
126,4
127,3
128,0
129,3
130,3
131,1
132,2
133,1
134,2
135,3
136,0
137,0
138,1
139,2
140,2
141,5
142,4
143,4
144,0
145,2
146,0
147,1
148,2
149,1
150,1
151,1
152,0
153,5
154,0
155,1
156,4
157,0
158,2
159,5
160,2
161,2
162,5
163,5
164,5
165,5
166,3
167,3
168,0
169,5
170,3
171,1
172,3
173,4
174,5
175,1
176,0
177,3
178,4
179,3
180,5
181,1
182,5
183,2
184,5
185,5
186,4
187,0
188,3
189,0
190,1
191,3
192,2
193,1
194,5
195,1
196,5
197,4
198,4
199,5
200,2
201,3
202,4
203,4
204,0
205,5
206,5
207,3
208,4
209,1
210,5
211,3
212,1
213,3
214,1
215,3
216,0
217,1
218,0
219,5
220,1
221,0
222,1
223,1
224,3
225,2
226,3
227,5
228,4
229,5
230,1
231,0
232,5
233,0
234,0
235,5
236,4
237,3
238,5
239,5
240,0
241,4
242,5
243,5
244,0
245,1
246,3
247,5
248,3
249,1
250,5
251,1
252,2
253,4
254,3
255,4
256,4
257,2
258,2
259,1
260,4
261,1
262,0
263,1
264,1
265,4
266,3
267,3
268,4
269,4
270,1
271,0
272,2
273,1
274,0
275,5
276,1
277,3
278,2
279,1
280,2
281,2
282,3
283,2
284,4
285,3
286,2
287,4
288,4
289,5
290,5
291,0
292,5
293,2
294,1
295,1
296,3
297,4
298,4
299,0
300,0
301,0
302,5
303,0
304,0
305,0
306,4
307,1
308,2
309,0
310,1
311,3
312,1
313,5
314,5
315,5
316,1
317,4
318,1
319,3
320,2
321,3
322,3
323,1
324,1
325,3
326,1
327,2
328,5
329,1
330,4
331,4
332,2
333,3
334,1
335,5
336,0
337,0
338,3
339,2
340,4
341,3
342,5
343,1
344,2
345,3
346,3
347,4
348,3
349,4
350,0
351,5
352,3
353,1
354,2
355,2
356,2
357,0
358,5
359,4
360,0
361,3
362,2
363,1
364,5
365,1
366,1
367,4
368,3
369,2
370,3
371,0
372,5
373,4
374,4
375,2
376,2
377,2
378,0
379,2
380,4
381,3
382,0
383,0
384,3
385,3
386,0
387,5
388,3
389,4
390,3
391,4
392,3
393,5
394,1
395,0
396,5
397,4
398,1
399,2
400,4
401,5
402,4
403,3
404,0
405,4
406,2
407,3
408,1
409,1
410,1
411,0
412,2
413,2
414,5
415,3
416,5
417,3
418,3
419,1
420,0
421,1
422,1
423,3
424,5
425,0
426,2
427,2
428,2
429,2
430,4
431,5
432,1
433,2
434,1
435,0
436,4
437,3
438,1
439,1
440,3
441,3
442,4
443,0
444,1
445,1
446,4
447,4
448,2
449,0
450,4
451,4
452,5
453,5
454,5
455,0
456,2
457,2
458,4
459,4
460,5
461,4
462,3
463,4
464,2
465,3
466,2
467,2
468,0
469,5
470,3
471,1
472,3
473,5
474,5
475,3
476,2
477,5
478,0
479,0
480,2
481,4
482,1
483,5
484,5
485,3
486,2
487,5
488,2
489,5
490,3
491,3
492,5
493,2
494,1
495,4
496,1
497,4
498,0
499,5
500,1
